Drug,Target,Selectivity_Score,Rank_Select,aff_local,aff_local_n,entropy_sel_n,gap_local_n,sr_local_n
CHEMBL229430,EGFR_HUMAN,0.5266917,56.0,8.306159,0.6352989,0.24184951,0.97604984,0.97004634
CHEMBL341273,EGFR_HUMAN,0.5266179,57.0,7.9451694,0.5992077,0.22967575,0.97498196,0.967352
CHEMBL1406049,EGFR_HUMAN,0.5266123,58.0,8.337148,0.63839716,0.2945924,0.92378783,0.9091582
CHEMBL545315,EGFR_HUMAN,0.5259665,59.0,7.834143,0.5881075,0.224119,0.9374785,0.9200487
CHEMBL201307,EGFR_HUMAN,0.52581185,60.0,8.207455,0.62543064,0.27360642,0.9216788,0.9054323
CHEMBL215275,EGFR_HUMAN,0.5255888,61.0,8.216745,0.6263595,0.18470527,0.9892711,0.9862788
CHEMBL394826,EGFR_HUMAN,0.52545804,62.0,8.307943,0.6354773,0.2479634,0.96450275,0.9560567
CHEMBL550348,EGFR_HUMAN,0.52533305,63.0,7.280614,0.53276646,0.25877273,0.89375687,0.86026627
CHEMBL4097299,EGFR_HUMAN,0.5250987,64.0,8.395193,0.6442004,0.21205209,0.99459064,0.99319607
CHEMBL1232944,EGFR_HUMAN,0.5242407,65.0,7.402938,0.54499626,0.2671468,0.91227597,0.8844117
CHEMBL522892,EGFR_HUMAN,0.52415305,66.0,8.822313,0.68690324,0.2460575,0.9674085,0.96184784
CHEMBL4175638,EGFR_HUMAN,0.5240453,67.0,8.50373,0.6550518,0.23375261,0.97512823,0.96962553
CHEMBL560630,EGFR_HUMAN,0.52357745,68.0,7.7006288,0.57475895,0.1870779,0.931109,0.91097677
CHEMBL213762,EGFR_HUMAN,0.52308553,69.0,8.3165455,0.6363374,0.16253859,1.0,1.0
CHEMBL1079742,EGFR_HUMAN,0.52290285,70.0,7.923865,0.5970777,0.18960658,0.99135476,0.9885169
CHEMBL595248,EGFR_HUMAN,0.522821,71.0,7.8999496,0.5946867,0.21028228,0.9521433,0.9384849
CHEMBL270954,EGFR_HUMAN,0.5226655,72.0,8.83008,0.6876797,0.17584693,1.0,1.0
CHEMBL2048788,EGFR_HUMAN,0.52255905,73.0,8.338347,0.638517,0.24966821,0.9415306,0.92927283
CHEMBL4207750,EGFR_HUMAN,0.5224657,74.0,8.56833,0.66151035,0.195527,1.0,1.0
CHEMBL535,EGFR_HUMAN,0.5222004,75.0,8.8664,0.691311,0.34201455,0.88399905,0.87344366
CHEMBL3818364,EGFR_HUMAN,0.52217007,76.0,8.353021,0.63998413,0.25378975,0.94441277,0.93270814
CHEMBL1094304,EGFR_HUMAN,0.5220085,77.0,8.326412,0.6373238,0.22333717,0.96102893,0.9520038
