Drug Name,ICD10,logit_or,logit_p
Donepezil,C55,0.3425852966669294,0.0153613018143499
Oxybutynin,C09,0.3075607111088955,0.0071797438825714
Zinc Acetate Anhydrous,C73,0.3525214626391129,0.0185902205896154
Fluorescein,C73,0.3330360239829307,0.0126766149523048
Carbidopa Anhydrous,C56,0.3996745909789475,0.0403631391516259
Ritonavir,C75,0.3331425937405655,0.0126933764708207
Meropenem,C73,0.2444381385965532,0.0011305831943701
Dofetilide,C61,0.3568424458104172,0.0211013191781687
Tretinoin,C55,0.3635205312843889,0.0226197582246149
Formoterol,C73,0.3631362743347036,0.0225304088858534
Tadalafil,C01,0.4136496128566921,0.0490783140389397
Levodopa,C56,0.3746847944859989,0.0273909114975524
Cangrelor,C44,0.264505566470202,0.0022582876284652
Tranexamic Acid,C02,0.333189394593676,0.0229106171621203
Ivermectin,C73,0.344306781426453,0.0277534700981543
Cefoxitin,C20,0.312146056425038,0.0155067925154928
Brompheniramine,C73,0.3443169296100183,0.027756234787055
Valproic Acid,C22,0.2171402590229877,0.001184739863436
Valproic Acid,C49,0.3446174199100438,0.0278381796837814
Icosapent Ethyl,C22,0.3117545001084351,0.0154338349084556
Clozapine,C61,0.3683207947530788,0.0406309779060609
Meloxicam,C07,0.3332845683075958,0.0229335730026764
Aluminum Sulfate,C61,0.2979280358489712,0.0120310269045724
Emtricitabine,C18,0.3569658492837026,0.033890551195462
Cangrelor,C50,0.3209178583305618,0.0185412702553076
Milrinone,C54,0.2774363015498177,0.0072384555625872
Budesonide,C01,0.3447448853897306,0.0278729878183969
Naltrexone,C7A,0.3697704945799617,0.0411320062525456
Pimecrolimus,C73,0.3443910374237091,0.0277764295871482
Megestrol Acetate,C47,0.3215963101498946,0.0186841430550975
Imiquimod,C73,0.3025890712646831,0.012778930495397
Apixaban,C01,0.3029607701582531,0.0128399241167564
