Model,RMSE,MAE,MSE,R2,Pearson,Median_AE,Explained_Variance,Data,Mode,Dataset,Type
XGBoost,0.863682556844402,0.5792366047175731,0.7459475589972836,0.6144261830427057,0.7842295718015337,0.3471551168418205,0.6149410974235014,BindDB,random,Validation,InHouse
XGBoost,0.8263830679124979,0.5513619011834874,0.6829089749324722,0.6361005921512177,0.7975883223948048,0.3295260198202214,0.6361008519362079,BindDB,random,Test,InHouse
GraphDTA,0.5916854199495519,0.4113039076328277,0.3500916361808777,0.8147952556610107,0.9032740702469466,0.27079034,0.8155110478401184,BindDB,random,Training,InHouse
GraphDTA,0.8362817144723697,0.5648207068443298,0.699367105960846,0.6385031938552856,0.8024226047800074,0.34910202,0.6420985460281372,BindDB,random,Validation,InHouse
GraphDTA,0.7999739881101335,0.5408400297164917,0.639958381652832,0.6589875221252441,0.8133002952003587,0.3386197,0.6599746942520142,BindDB,random,Test,InHouse
FNN,0.4112997010817254,0.261583536863327,0.1691674441099167,0.9105073809623718,0.9548160225647888,0.14590645,0.9107521176338196,BindDB,random,Training,InHouse
FNN,0.7611886160394675,0.4777820706367492,0.5794081091880798,0.7005089521408081,0.8375667876769661,0.24873495,0.7005444765090942,BindDB,random,Validation,InHouse
FNN,0.7402536596035767,0.4613995552062988,0.547975480556488,0.7080021500587463,0.841744215595581,0.2423191,0.7080069780349731,BindDB,random,Test,InHouse
DeepPurpose,0.6962423349744886,0.4636838018272376,0.484753389010728,0.7435567512333523,0.8648735082877024,0.270232456499019,0.7439929245789993,BindDB,random,Training,InHouse
DeepPurpose,0.8793263118324186,0.5842110787914233,0.7732147626808038,0.6003320021915217,0.7768774279321489,0.3357621101008319,0.6035371483628369,BindDB,random,Validation,InHouse
DeepPurpose,0.8430780128456268,0.5566423249569754,0.7107805357437308,0.621248767314619,0.7889106642852407,0.3094508647918701,0.6223416781137299,BindDB,random,Test,InHouse
MolTrans,9.125119807773848,0.5675785216010808,83.26781150622662,-43.052897598111045,0.1321273609091166,0.3083335161209106,-43.048357590619105,BindDB,random,Training,InHouse
MolTrans,0.9249877576252952,0.6123504412152556,0.855602351756672,0.5577465598179485,0.7636563774141081,0.380994439125061,0.5606444301452734,BindDB,random,Validation,InHouse
MolTrans,7.139104852711815,0.6969812069808295,50.966818098013384,-26.158516969713457,0.1453333038968557,0.3711531162261963,-26.156102655361725,BindDB,random,Test,InHouse
DCN,0.1776408588751136,0.1147477775812149,0.031556274741888,0.9833061695098876,0.9916277758678316,0.0792501,0.9833213090896606,BindDB,random,Training,InHouse
DCN,0.7872338965577873,0.5087164044380188,0.6197372078895569,0.6796631813049316,0.8272502555225429,0.28558946,0.6802983283996582,BindDB,random,Validation,InHouse
DCN,0.7704227917931289,0.491229385137558,0.5935512781143188,0.6837162971496582,0.8294214757771314,0.26485682,0.6838254332542419,BindDB,random,Test,InHouse
GCN,0.414324227871869,0.2844088077545166,0.1716645658016204,0.9091863632202148,0.9554445433255534,0.19597816,0.9123886823654176,BindDB,random,Training,InHouse
GCN,0.8796349111662428,0.5754149556159973,0.7737575769424438,0.6000514030456543,0.7870995789021045,0.34161997,0.6041600704193115,BindDB,random,Validation,InHouse
GCN,0.8307219398367551,0.5431663393974304,0.6900989413261414,0.6322692632675171,0.8044918814637985,0.31206357,0.636691689491272,BindDB,random,Test,InHouse
DeepDTA,0.7587477428522111,0.4823050796985626,0.5756981372833252,0.6674944162368774,0.81708671,0.21855783,0.6674953699111938,BindDB,cold_drug,Training,InHouse
DeepDTA,1.162170511128223,0.8379708528518677,1.3506402969360352,0.0564513802528381,0.5173187,0.56036735,0.1157487630844116,BindDB,cold_drug,Validation,InHouse
DeepDTA,1.1344872558368873,0.824464738368988,1.287061333656311,0.1747872233390808,0.54257531,0.5891242,0.1853766441345214,BindDB,cold_drug,Test,InHouse
Diffusion,0.5366042102382673,0.365911602973938,0.2879440784454345,0.8530013561248779,0.9328673406798638,0.24032879,0.8700621128082275,BindDB,cold_drug,Training,InHouse
Diffusion,1.3019110095116415,0.997752606868744,1.694972276687622,-0.0380471944808959,0.4828577546098582,0.82561326,0.0830199122428894,BindDB,cold_drug,Validation,InHouse
