Drug,cluster,Selectivity_Score,entropy_sel_n,gini_sel_n,kurt_n,gap_n,sr_n,Type,x,y,Drug Chembl ID,Drug Name,Clinical Trial Phase
CHEMBL2106011,0,0.11218519682496186,0.09822723867299077,0.0010479973121128056,0.14277950838127246,0.05883616842369051,0.05423864997623232,Type III: Broad-spectrum,10.338904,1.0979186,CHEMBL2106011,Clocortolone Acetate,2.0
CHEMBL2106049,0,0.05205670284009448,0.04909385131095775,0.00041561240404065607,0.1407962234406581,0.029277210686957322,0.03405103094314789,Type III: Broad-spectrum,14.039701,-0.054471266,CHEMBL2106049,"Charcoal, Activated",3.0
CHEMBL2106059,0,0.11443751835569971,0.055406532337766365,0.0004909948786416473,0.12551548406037769,0.10076286012279384,0.0909243568573545,Type III: Broad-spectrum,9.362266,-0.6770139,CHEMBL2106059,Boldenone Undecylenate,2.0
CHEMBL2106060,0,0.13268423745483712,0.10580533671510262,0.0015393513704185778,0.20779974751650196,0.07263701960951878,0.06420292221790051,Type III: Broad-spectrum,8.418036,1.8828294,CHEMBL2106060,Bevantolol Hydrochloride,2.0
CHEMBL2106065,2,0.1844786389055323,0.19497079988787547,0.0030794620541837125,0.4005185665416102,0.10954618799995226,0.10032366110764407,Type I: Highly Selective,4.001404,6.950238,CHEMBL2106065,Clamoxyquin Hydrochloride,3.0
CHEMBL2106068,2,0.2212660723871161,0.2739448690097165,0.005577819741299596,0.4329071320730714,0.09181872697587316,0.07719438608166668,Type I: Highly Selective,2.9812531,8.326884,CHEMBL2106068,Atrasentan Hydrochloride,3.0
CHEMBL2106071,0,0.10251185140121678,0.04563458828698174,0.0003841802951357893,0.073349245068852,0.06439936985692929,0.05564308113364552,Type III: Broad-spectrum,11.085217,-0.9160653,CHEMBL2106071,Clomocycline,2.0
CHEMBL2106083,2,0.13902136474259652,0.16449146432581105,0.002212961375936629,0.33707293439104136,0.04653725975241362,0.045211081512521414,Type I: Highly Selective,8.188113,6.833103,CHEMBL2106083,Bibenzonium Bromide,2.0
CHEMBL2106085,0,0.13455741817326544,0.17049870222928787,0.0024066448195100712,0.29419708717712756,0.012121451107415715,0.011162785168103,Type III: Broad-spectrum,8.7240925,6.6860213,CHEMBL2106085,Clorazepate Monopotassium,-1.0
CHEMBL2106111,0,0.09498177056277066,0.09746199005468391,0.001070989589863458,0.2540049204055721,0.0232426761925845,0.02372758429930013,Type III: Broad-spectrum,12.510772,3.842576,CHEMBL2106111,Calcium Lactate,4.0
