,query,matched,score,ModelID,StrippedCellLineName
256,ATN-1,ATN1,88.88888888888889,ACH-002058,ATN1
257,CESS,CESS,100.0,ACH-002218,CESS
258,COLO-684,COLO684,93.33333333333333,ACH-000864,COLO684
259,COLO-668,COLO668,93.33333333333333,ACH-000803,COLO668
260,A388,A388,100.0,ACH-001442,A388
261,C2BBe1,C2BBE1,83.33333333333333,ACH-000009,C2BBE1
262,CA46,CA46,100.0,ACH-000440,CA46
263,BALL-1,BALL1,90.9090909090909,ACH-002211,BALL1
264,BL-41,BL41,88.88888888888889,ACH-000245,BL41
265,BV-173,BV173,90.9090909090909,ACH-000432,BV173
266,TGW,TGW,100.0,ACH-001674,TGW
267,RL,RL,100.0,ACH-000371,RL
268,SNU-C1,SNUC1,90.9090909090909,ACH-000722,SNUC1
269,ST486,ST486,100.0,ACH-000567,ST486
270,UACC-812,UACC812,93.33333333333333,ACH-000568,UACC812
271,SCC-15,SCC15,90.9090909090909,ACH-000254,SCC15
272,BC-3,BC3,85.71428571428571,ACH-002215,BC3
273,BC-1,BC1,85.71428571428571,ACH-002214,BC1
274,A101D,A101D,100.0,ACH-000008,A101D
275,SCC-3,SCC3,88.88888888888889,ACH-001642,SCC3
276,AM-38,AM38,88.88888888888889,ACH-000269,AM38
277,A4-Fuk,,,,
278,A3-KAW,A3KAW,90.9090909090909,ACH-000697,A3KAW
279,NEC8,NEC8,100.0,ACH-002288,NEC8
280,CAS-1,CAS1,88.88888888888889,ACH-000464,CAS1
281,ALL-PO,ALLPO,90.9090909090909,ACH-002209,ALLPO
282,OCI-AML2,OCIAML2,93.33333333333333,ACH-000113,OCIAML2
283,MFM-223,MFM223,92.3076923076923,ACH-001819,MFM223
284,LS-1034,LS1034,92.3076923076923,ACH-000252,LS1034
285,CAL-148,CAL148,92.3076923076923,ACH-000902,CAL148
286,HDLM-2,HDLM2,90.9090909090909,ACH-000267,HDLM2
287,KGN,KGN,100.0,ACH-002149,KGN
288,KNS-81-FD,KNS81FD,87.5,ACH-002259,KNS81FD
289,K5,K5,100.0,ACH-002148,K5
290,L-363,L363,88.88888888888889,ACH-000183,L363
291,NCI-H1975,NCIH1975,94.11764705882354,ACH-000587,NCIH1975
292,SW954,SW954,100.0,ACH-001400,SW954
293,TE-441-T,TE441T,85.71428571428571,ACH-000772,TE441T
294,MMAc-SF,,,,
295,MFH-ino,,,,
296,NOS-1,NOS1,88.88888888888889,ACH-002067,NOS1
297,RL95-2,RL952,90.9090909090909,ACH-000965,RL952
298,TE-6,TE6,85.71428571428571,ACH-000605,TE6
299,TE-12,TE12,88.88888888888889,ACH-002311,TE12
300,YT,YT,100.0,ACH-002317,YT
301,BT-474,BT474,90.9090909090909,ACH-000927,BT474
302,KP-N-YS,KPNYS,83.33333333333333,ACH-002261,KPNYS
303,D-247MG,D247MG,92.3076923076923,ACH-002224,D247MG
304,D-263MG,D263MG,92.3076923076923,ACH-002225,D263MG
305,D-336MG,D336MG,92.3076923076923,ACH-002226,D336MG
306,D-392MG,D392MG,92.3076923076923,ACH-002227,D392MG
307,D-502MG,D502MG,92.3076923076923,ACH-002229,D502MG
308,CTB-1,CTB1,88.88888888888889,ACH-002221,CTB1
309,HAL-01,HAL01,90.9090909090909,ACH-002241,HAL01
