cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,reason,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates
AvsC_1to1_full,C,1,full,3,1095,3y,24096,24096,52,95,failed,non-convergence,,,,,,,,
AvsC_1to1_full,C,1,full,3,1825,5y,24096,24096,75,118,failed,non-convergence,,,,,,,,
AvsC_1to1_full,C,1,full,4,365,1y,24096,24096,17,62,success,,0.2332,0.1348,0.4034,1.9270206863853746e-07,0.2797,48192.0,79.0,14.0
AvsC_1to1_full,C,1,full,4,730,2y,24096,24096,35,85,success,,0.3489,0.2323,0.5239,3.838006039467612e-07,0.2074,48192.0,120.0,14.0
AvsC_1to1_full,C,1,full,4,1095,3y,24096,24096,52,109,success,,0.4009,0.284,0.5659,2.0239246788991603e-07,0.1759,48192.0,161.0,14.0
AvsC_1to1_full,C,1,full,4,1825,5y,24096,24096,75,149,success,,0.4189,0.3125,0.5615,5.85208888180398e-09,0.1495,48192.0,224.0,14.0
AvsC_1to1_full,C,1,full,5,365,1y,24096,24096,17,30,success,,0.5168,0.2815,0.9489,0.0332426243027372,0.31,48192.0,47.0,14.0
AvsC_1to1_full,C,1,full,5,730,2y,24096,24096,35,49,success,,0.6418,0.4101,1.0045,0.05232677968384554,0.2285,48192.0,84.0,14.0
AvsC_1to1_full,C,1,full,5,1095,3y,24096,24096,52,64,success,,0.7389,0.505,1.0812,0.11921225467539091,0.1942,48192.0,116.0,14.0
AvsC_1to1_full,C,1,full,5,1825,5y,24096,24096,75,78,success,,0.864,0.6186,1.2067,0.3909474797074214,0.1705,48192.0,153.0,14.0
AvsC_1to1_full,C,1,full,6,365,1y,24096,24096,17,58,success,,0.2832,0.1633,0.4914,7.190479865667832e-06,0.2811,48192.0,75.0,14.0
AvsC_1to1_full,C,1,full,6,730,2y,24096,24096,35,78,success,,0.432,0.2866,0.6513,6.152461346078489e-05,0.2094,48192.0,113.0,14.0
AvsC_1to1_full,C,1,full,6,1095,3y,24096,24096,52,93,success,,0.5406,0.38,0.7692,0.0006285087345212198,0.1799,48192.0,145.0,14.0
AvsC_1to1_full,C,1,full,6,1825,5y,24096,24096,75,130,success,,0.5601,0.4153,0.7554,0.0001456447467454347,0.1526,48192.0,205.0,14.0
AvsC_1to1_full,C,1,full,7,365,1y,24096,24096,17,76,success,,0.2082,0.122,0.3552,8.641419719519736e-09,0.2727,48192.0,93.0,14.0
AvsC_1to1_full,C,1,full,7,730,2y,24096,24096,35,97,failed,non-convergence,,,,,,,,
AvsC_1to1_full,C,1,full,7,1095,3y,24096,24096,52,134,failed,non-convergence,,,,,,,,
AvsC_1to1_full,C,1,full,7,1825,5y,24096,24096,75,170,success,,0.4048,0.3035,0.5399,7.50728904932721e-10,0.1469,48192.0,245.0,14.0
AvsC_1to1_full,C,1,full,8,365,1y,24096,24096,17,42,success,,0.3394,0.1905,0.6047,0.0002453516642649921,0.2947,48192.0,59.0,14.0
AvsC_1to1_full,C,1,full,8,730,2y,24096,24096,35,68,success,,0.4544,0.2985,0.6918,0.000234350337901222,0.2144,48192.0,103.0,14.0
AvsC_1to1_full,C,1,full,8,1095,3y,24096,24096,52,99,success,,0.4579,0.3232,0.6486,1.0947978741552653e-05,0.1776,48192.0,151.0,14.0
AvsC_1to1_full,C,1,full,8,1825,5y,24096,24096,75,122,success,,0.5374,0.3972,0.7272,5.6950872472378925e-05,0.1543,48192.0,197.0,14.0
