cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,hr,ci_lower,ci_upper,p_value,n_events,n,concordance
AvsC_1to2_full,C,2,full,0,1825,5y,24096,48187,75,253,success,0.8463,0.7438,0.9628,0.011246510719814074,328,72283,0.9654
AvsC_1to2_full,C,2,full,1,365,1y,24096,48192,17,85,success,0.9088,0.7861,1.0506,0.19618512114181452,102,72288,0.9604
AvsC_1to2_full,C,2,full,1,730,2y,24096,48192,35,136,success,0.8884,0.7728,1.0214,0.09642290190589879,171,72288,0.9624
AvsC_1to2_full,C,2,full,1,1095,3y,24096,48192,52,178,success,0.8793,0.7681,1.0066,0.062152110922989966,230,72288,0.9622
AvsC_1to2_full,C,2,full,1,1825,5y,24096,48192,75,232,success,0.8713,0.765,0.9924,0.03805980371784288,307,72288,0.9655
AvsC_1to2_full,C,2,full,2,365,1y,24096,48192,17,142,success,0.8286,0.7198,0.9539,0.008868435097422477,159,72288,0.9572
AvsC_1to2_full,C,2,full,2,730,2y,24096,48192,35,212,success,0.7974,0.6968,0.9124,0.0009947746638778957,247,72288,0.9614
AvsC_1to2_full,C,2,full,2,1095,3y,24096,48192,52,245,success,0.807,0.7075,0.9205,0.0014035217314789564,297,72288,0.9643
AvsC_1to2_full,C,2,full,2,1825,5y,24096,48192,75,320,success,0.7899,0.6962,0.8962,0.0002503564158407275,395,72288,0.9681
AvsC_1to2_full,C,2,full,3,365,1y,24096,48192,17,138,success,0.8335,0.7239,0.9598,0.011410475503943205,155,72288,0.966
AvsC_1to2_full,C,2,full,3,730,2y,24096,48192,35,182,success,0.8295,0.7237,0.9508,0.007283696204413178,217,72288,0.9656
AvsC_1to2_full,C,2,full,3,1095,3y,24096,48192,52,214,success,0.8374,0.733,0.9567,0.00901975560136012,266,72288,0.9667
AvsC_1to2_full,C,2,full,3,1825,5y,24096,48192,75,269,success,0.834,0.7335,0.9482,0.005567563104202583,344,72288,0.9684
AvsC_1to2_full,C,2,full,4,365,1y,24096,48192,17,118,success,0.8595,0.7454,0.9911,0.03721044900325108,135,72288,0.957
AvsC_1to2_full,C,2,full,4,730,2y,24096,48192,35,161,success,0.8557,0.7455,0.9822,0.026685747666906946,196,72288,0.9612
AvsC_1to2_full,C,2,full,4,1095,3y,24096,48192,52,199,success,0.8548,0.7476,0.9773,0.02169343558680049,251,72288,0.96
AvsC_1to2_full,C,2,full,4,1825,5y,24096,48192,75,253,success,0.8513,0.7482,0.9687,0.014578336812794229,328,72288,0.9633
AvsC_1to2_full,C,2,full,5,365,1y,24096,48192,17,74,success,0.9253,0.7997,1.0706,0.29697128718653953,91,72288,0.9563
AvsC_1to2_full,C,2,full,5,730,2y,24096,48192,35,121,success,0.9092,0.79,1.0463,0.18417328808701172,156,72288,0.9602
AvsC_1to2_full,C,2,full,5,1095,3y,24096,48192,52,157,success,0.908,0.7921,1.0407,0.16553531961029483,209,72288,0.9629
AvsC_1to2_full,C,2,full,5,1825,5y,24096,48192,75,179,success,0.9421,0.8247,1.0762,0.3795492457787173,254,72288,0.9654
AvsC_1to2_full,C,2,full,6,365,1y,24096,48192,17,105,success,0.8791,0.7616,1.0147,0.0782672485892574,122,72288,0.9515
AvsC_1to2_full,C,2,full,6,730,2y,24096,48192,35,155,success,0.8642,0.7526,0.9923,0.038474374656419015,190,72288,0.9581
AvsC_1to2_full,C,2,full,6,1095,3y,24096,48192,52,199,success,0.8559,0.7486,0.9786,0.022829735767674084,251,72288,0.9622
AvsC_1to2_full,C,2,full,6,1825,5y,24096,48192,75,272,success,0.8323,0.7321,0.9462,0.00502357582218573,347,72288,0.967
AvsC_1to2_full,C,2,full,7,365,1y,24096,48192,17,153,success,0.8119,0.7059,0.9339,0.0035312904513387926,170,72288,0.9621
AvsC_1to2_full,C,2,full,7,730,2y,24096,48192,35,210,success,0.7939,0.6938,0.9085,0.0007905680745047948,245,72288,0.9643
AvsC_1to2_full,C,2,full,7,1095,3y,24096,48192,52,283,success,0.7585,0.6664,0.8633,2.8586938209394554e-05,335,72288,0.969
AvsC_1to2_full,C,2,full,7,1825,5y,24096,48192,75,337,success,0.7608,0.6713,0.8623,1.8780946114562705e-05,412,72288,0.9718
AvsC_1to2_full,C,2,full,8,365,1y,24096,48192,17,106,success,0.876,0.759,1.011,0.07019077152946229,123,72288,0.9588
AvsC_1to2_full,C,2,full,8,730,2y,24096,48192,35,150,success,0.8695,0.757,0.9987,0.047822427013595334,185,72288,0.9631
AvsC_1to2_full,C,2,full,8,1095,3y,24096,48192,52,204,success,0.847,0.741,0.9681,0.014867567347885333,256,72288,0.9632
AvsC_1to2_full,C,2,full,8,1825,5y,24096,48192,75,246,success,0.8575,0.7534,0.976,0.019937389297543132,321,72288,0.9658
AvsC_1to2_full,C,2,full,9,365,1y,24096,48192,17,87,success,0.9067,0.7844,1.048,0.18517415113924499,104,72288,0.9526
AvsC_1to2_full,C,2,full,9,730,2y,24096,48192,35,174,success,0.8407,0.733,0.9641,0.013048438008355851,209,72288,0.9591
AvsC_1to2_full,C,2,full,9,1095,3y,24096,48192,52,219,success,0.8337,0.7299,0.9522,0.007314032220555203,271,72288,0.9608
AvsC_1to2_full,C,2,full,9,1825,5y,24096,48192,75,296,success,0.8088,0.7122,0.9185,0.0010761064808685922,371,72288,0.9663
AvsC_1to2_simple,C,2,simple,0,365,1y,24096,48192,17,3,success,1.0646,0.914,1.24,0.4211314163809504,20,72288,0.9648
AvsC_1to2_simple,C,2,simple,0,730,2y,24096,48192,35,25,success,1.0901,0.9397,1.2645,0.2547941148762939,60,72288,0.9538
AvsC_1to2_simple,C,2,simple,0,1095,3y,24096,48192,52,64,success,1.0743,0.9308,1.2398,0.3271713309227319,116,72288,0.9511
AvsC_1to2_simple,C,2,simple,0,1825,5y,24096,48192,75,182,success,0.9527,0.8339,1.0883,0.47547275768138375,257,72288,0.9242
