cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsC_1to2_full,C,2,full,0,1825,5y,24096,48187,75,253,0.624,0.4908,0.7822,1.0543,0.9284,1.1925,0.5919,0.4574,0.7658
AvsC_1to2_full,C,2,full,1,365,1y,24096,48192,17,85,0.7063,0.4114,1.1308,1.7669,1.4113,2.1848,0.3997,0.2375,0.6729
AvsC_1to2_full,C,2,full,1,730,2y,24096,48192,35,136,0.7273,0.5066,1.0115,1.4144,1.1867,1.6731,0.5142,0.3547,0.7456
AvsC_1to2_full,C,2,full,1,1095,3y,24096,48192,52,178,0.7206,0.5382,0.945,1.2348,1.06,1.4301,0.5836,0.4285,0.7948
AvsC_1to2_full,C,2,full,1,1825,5y,24096,48192,75,232,0.624,0.4908,0.7822,0.9664,0.846,1.0991,0.6457,0.4977,0.8377
AvsC_1to2_full,C,2,full,2,365,1y,24096,48192,17,142,0.7063,0.4114,1.1308,2.9544,2.4885,3.4822,0.2391,0.1446,0.3953
AvsC_1to2_full,C,2,full,2,730,2y,24096,48192,35,212,0.7273,0.5066,1.0115,2.2072,1.9201,2.5252,0.3295,0.2304,0.4712
AvsC_1to2_full,C,2,full,2,1095,3y,24096,48192,52,245,0.7206,0.5382,0.945,1.7016,1.4952,1.9286,0.4235,0.314,0.5712
AvsC_1to2_full,C,2,full,2,1825,5y,24096,48192,75,320,0.624,0.4908,0.7822,1.3348,1.1925,1.4894,0.4675,0.3636,0.6011
AvsC_1to2_full,C,2,full,3,365,1y,24096,48192,17,138,0.7063,0.4114,1.1308,2.8705,2.4115,3.3913,0.2461,0.1487,0.4072
AvsC_1to2_full,C,2,full,3,730,2y,24096,48192,35,182,0.7273,0.5066,1.0115,1.8942,1.629,2.1903,0.384,0.2674,0.5513
AvsC_1to2_full,C,2,full,3,1095,3y,24096,48192,52,214,0.7206,0.5382,0.945,1.4857,1.2933,1.6986,0.485,0.3582,0.6567
AvsC_1to2_full,C,2,full,3,1825,5y,24096,48192,75,269,0.624,0.4908,0.7822,1.1215,0.9914,1.2638,0.5564,0.4308,0.7187
AvsC_1to2_full,C,2,full,4,365,1y,24096,48192,17,118,0.7063,0.4114,1.1308,2.4538,2.0311,2.9386,0.2878,0.1731,0.4786
AvsC_1to2_full,C,2,full,4,730,2y,24096,48192,35,161,0.7273,0.5066,1.0115,1.6752,1.4264,1.9549,0.4342,0.3012,0.6257
AvsC_1to2_full,C,2,full,4,1095,3y,24096,48192,52,199,0.7206,0.5382,0.945,1.3811,1.1959,1.587,0.5218,0.3845,0.708
AvsC_1to2_full,C,2,full,4,1825,5y,24096,48192,75,253,0.624,0.4908,0.7822,1.0543,0.9284,1.1926,0.5919,0.4574,0.7658
AvsC_1to2_full,C,2,full,5,365,1y,24096,48192,17,74,0.7063,0.4114,1.1308,1.5381,1.2078,1.931,0.4592,0.2711,0.7779
AvsC_1to2_full,C,2,full,5,730,2y,24096,48192,35,121,0.7273,0.5066,1.0115,1.2582,1.044,1.5034,0.578,0.3968,0.842
AvsC_1to2_full,C,2,full,5,1095,3y,24096,48192,52,157,0.7206,0.5382,0.945,1.0889,0.9252,1.2731,0.6618,0.4836,0.9055
AvsC_1to2_full,C,2,full,5,1825,5y,24096,48192,75,179,0.624,0.4908,0.7822,0.7453,0.6401,0.8628,0.8372,0.6394,1.0963
AvsC_1to2_full,C,2,full,6,365,1y,24096,48192,17,105,0.7063,0.4114,1.1308,2.1834,1.7858,2.6432,0.3235,0.1938,0.54
AvsC_1to2_full,C,2,full,6,730,2y,24096,48192,35,155,0.7273,0.5066,1.0115,1.6125,1.3687,1.8873,0.451,0.3125,0.6509
AvsC_1to2_full,C,2,full,6,1095,3y,24096,48192,52,199,0.7206,0.5382,0.945,1.381,1.1958,1.5867,0.5218,0.3845,0.7081
AvsC_1to2_full,C,2,full,6,1825,5y,24096,48192,75,272,0.624,0.4908,0.7822,1.1336,1.0029,1.2766,0.5505,0.4263,0.7108
AvsC_1to2_full,C,2,full,7,365,1y,24096,48192,17,153,0.7063,0.4114,1.1308,3.1835,2.699,3.7297,0.2219,0.1344,0.3662
AvsC_1to2_full,C,2,full,7,730,2y,24096,48192,35,210,0.7273,0.5066,1.0115,2.1866,1.9008,2.5032,0.3326,0.2326,0.4757
