cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,hr,ci_lower,ci_upper,p_value,n_events,n,concordance
AvsC_1to2_full,C,2,full,3,365,1y,52146,104292,234,506,success,0.9847,0.9027,1.0741,0.7272956168169971,740,156438,0.948
AvsC_1to2_full,C,2,full,3,730,2y,52146,104292,351,773,success,0.9725,0.8971,1.0542,0.49800784138810983,1124,156438,0.9496
AvsC_1to2_full,C,2,full,3,1095,3y,52146,104292,445,986,success,0.9729,0.9012,1.0504,0.48265735781973873,1431,156438,0.9469
AvsC_1to2_full,C,2,full,3,1825,5y,52146,104292,610,1359,success,0.9703,0.904,1.0414,0.40326093551571895,1969,156438,0.9472
AvsC_1to2_full,C,2,full,4,365,1y,52146,104292,234,514,success,0.9808,0.8992,1.0698,0.661673487901894,748,156438,0.9377
AvsC_1to2_full,C,2,full,4,730,2y,52146,104292,351,851,success,0.9356,0.8638,1.0134,0.10222470275124688,1202,156438,0.9429
AvsC_1to2_full,C,2,full,4,1095,3y,52146,104292,445,1013,success,0.9601,0.8896,1.0363,0.2964282363077289,1458,156438,0.9434
AvsC_1to2_full,C,2,full,4,1825,5y,52146,104292,610,1361,success,0.9806,0.9136,1.0526,0.5882118033071602,1971,156438,0.9461
AvsC_1to2_full,C,2,full,5,365,1y,52146,104292,234,530,success,0.9726,0.8919,1.0606,0.5291916180914902,764,156438,0.9423
AvsC_1to2_full,C,2,full,5,730,2y,52146,104292,351,790,success,0.9673,0.8924,1.0484,0.4177062966597711,1141,156438,0.9476
AvsC_1to2_full,C,2,full,5,1095,3y,52146,104292,445,947,success,0.9926,0.919,1.072,0.8493132413477031,1392,156438,0.95
AvsC_1to2_full,C,2,full,5,1825,5y,52146,104292,610,1219,success,1.0237,0.9528,1.0998,0.5225409220825484,1829,156438,0.9513
AvsC_1to2_full,C,2,full,6,365,1y,52146,104292,234,643,success,0.9018,0.8284,0.9818,0.01711871079433066,877,156438,0.9515
AvsC_1to2_full,C,2,full,6,730,2y,52146,104292,351,847,success,0.9248,0.8538,1.0016,0.05475995230121145,1198,156438,0.9513
AvsC_1to2_full,C,2,full,6,1095,3y,52146,104292,445,1212,success,0.8685,0.806,0.9358,0.00021420438952607354,1657,156438,0.9533
AvsC_1to2_full,C,2,full,6,1825,5y,52146,104292,610,1452,success,0.9145,0.8526,0.9809,0.012464717511784141,2062,156438,0.9526
AvsC_1to2_full,C,2,full,7,365,1y,52146,104292,234,535,success,0.9792,0.898,1.0679,0.6348473037882334,769,156438,0.9484
AvsC_1to2_full,C,2,full,7,730,2y,52146,104292,351,887,success,0.9437,0.8714,1.022,0.15431698888555773,1238,156438,0.9491
AvsC_1to2_full,C,2,full,7,1095,3y,52146,104292,445,1393,success,0.8442,0.7842,0.9086,6.463989962217267e-06,1838,156438,0.9559
AvsC_1to2_full,C,2,full,7,1825,5y,52146,104292,610,1695,success,0.8893,0.8301,0.9528,0.0008554219912266631,2305,156438,0.9556
AvsC_1to2_full,C,2,full,8,365,1y,52146,104292,234,584,success,0.9495,0.8714,1.0346,0.23692773223023503,818,156438,0.9413
AvsC_1to2_full,C,2,full,8,730,2y,52146,104292,351,876,success,0.9405,0.8685,1.0186,0.13171179495150154,1227,156438,0.9426
AvsC_1to2_full,C,2,full,8,1095,3y,52146,104292,445,1381,success,0.8375,0.7781,0.9015,2.323559157895805e-06,1826,156438,0.9472
AvsC_1to2_full,C,2,full,8,1825,5y,52146,104292,610,1696,success,0.8739,0.8158,0.9361,0.0001228362242661293,2306,156438,0.9482
AvsC_1to2_full,C,2,full,9,365,1y,52146,104292,234,464,success,1.0042,0.9201,1.0961,0.9245941813205951,698,156438,0.9399
AvsC_1to2_full,C,2,full,9,730,2y,52146,104292,351,688,success,1.0161,0.9365,1.1025,0.701064139753455,1039,156438,0.9406
AvsC_1to2_full,C,2,full,9,1095,3y,52146,104292,445,984,success,0.9697,0.8982,1.0468,0.43025390446470546,1429,156438,0.941
AvsC_1to2_full,C,2,full,9,1825,5y,52146,104292,610,1269,success,1.0033,0.9343,1.0775,0.9270252157546748,1879,156438,0.9451
AvsC_1to2_simple,C,2,simple,0,365,1y,52085,104170,234,1030,success,0.7344,0.6778,0.7958,4.7521641830608444e-14,1264,156255,0.8299
AvsC_1to2_simple,C,2,simple,0,730,2y,52085,104170,351,1453,success,0.7048,0.6543,0.7592,2.7272019638730464e-20,1804,156255,0.8158
AvsC_1to2_simple,C,2,simple,0,1095,3y,52085,104170,445,1453,success,0.7758,0.7215,0.8341,6.779298273581142e-12,1898,156255,0.8111
AvsC_1to2_simple,C,2,simple,0,1825,5y,52085,104170,610,2258,success,0.6891,0.6454,0.7357,7.431204846619699e-29,2868,156255,0.8158
