cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsC_1to2_full,C,2,full,3,365,1y,52146,104292,234,506,4.5038,3.9452,5.1193,4.869,4.4539,5.3123,0.925,0.7922,1.08
AvsC_1to2_full,C,2,full,3,730,2y,52146,104292,351,773,3.3825,3.0378,3.7555,3.7258,3.4678,3.998,0.9079,0.8003,1.0299
AvsC_1to2_full,C,2,full,3,1095,3y,52146,104292,445,986,2.8621,2.6023,3.1408,3.1724,2.9775,3.3768,0.9022,0.8066,1.009
AvsC_1to2_full,C,2,full,3,1825,5y,52146,104292,610,1359,2.3585,2.175,2.5533,2.629,2.491,2.7726,0.8971,0.8154,0.987
AvsC_1to2_full,C,2,full,4,365,1y,52146,104292,234,514,4.5038,3.9452,5.1193,4.9469,4.5284,5.3936,0.9104,0.78,1.0626
AvsC_1to2_full,C,2,full,4,730,2y,52146,104292,351,851,3.3825,3.0378,3.7555,4.102,3.831,4.3872,0.8246,0.7282,0.9338
AvsC_1to2_full,C,2,full,4,1095,3y,52146,104292,445,1013,2.8621,2.6023,3.1408,3.2602,3.0625,3.4673,0.8779,0.7853,0.9814
AvsC_1to2_full,C,2,full,4,1825,5y,52146,104292,610,1361,2.3585,2.175,2.5533,2.633,2.4949,2.7767,0.8957,0.8142,0.9855
AvsC_1to2_full,C,2,full,5,365,1y,52146,104292,234,530,4.5038,3.9452,5.1193,5.0986,4.6737,5.5518,0.8833,0.7574,1.0302
AvsC_1to2_full,C,2,full,5,730,2y,52146,104292,351,790,3.3825,3.0378,3.7555,3.8068,3.546,4.0818,0.8885,0.7836,1.0076
AvsC_1to2_full,C,2,full,5,1095,3y,52146,104292,445,947,2.8621,2.6023,3.1408,3.0463,2.8554,3.2467,0.9395,0.8394,1.0516
AvsC_1to2_full,C,2,full,5,1825,5y,52146,104292,610,1219,2.3585,2.175,2.5533,2.3576,2.2271,2.4937,1.0004,0.9077,1.1025
AvsC_1to2_full,C,2,full,6,365,1y,52146,104292,234,643,4.5038,3.9452,5.1193,6.1969,5.7271,6.6949,0.7268,0.6258,0.8441
AvsC_1to2_full,C,2,full,6,730,2y,52146,104292,351,847,3.3825,3.0378,3.7555,4.0869,3.8163,4.3717,0.8276,0.7308,0.9373
AvsC_1to2_full,C,2,full,6,1095,3y,52146,104292,445,1212,2.8621,2.6023,3.1408,3.9045,3.6878,4.1307,0.733,0.6576,0.8171
AvsC_1to2_full,C,2,full,6,1825,5y,52146,104292,610,1452,2.3585,2.175,2.5533,2.8128,2.67,2.9613,0.8385,0.7628,0.9217
AvsC_1to2_full,C,2,full,7,365,1y,52146,104292,234,535,4.5038,3.9452,5.1193,5.1504,4.7232,5.6059,0.8745,0.7499,1.0197
AvsC_1to2_full,C,2,full,7,730,2y,52146,104292,351,887,3.3825,3.0378,3.7555,4.2762,3.9994,4.5671,0.791,0.699,0.8951
AvsC_1to2_full,C,2,full,7,1095,3y,52146,104292,445,1393,2.8621,2.6023,3.1408,4.4865,4.254,4.7284,0.6379,0.5734,0.7098
AvsC_1to2_full,C,2,full,7,1825,5y,52146,104292,610,1695,2.3585,2.175,2.5533,3.2851,3.1306,3.4453,0.7179,0.6545,0.7875
